url_length,https,subdomain_count,has_ip,hyphen_count,digit_ratio,path_length,has_at_symbol,brand_keyword_count,label
51,1,3,0,0,0.0,23,0,0,0
53,1,3,0,0,0.0,19,0,0,0
46,1,2,0,0,0.0,17,0,0,0
52,1,2,0,0,0.0,27,0,0,0
55,1,2,0,0,0.0,33,0,1,0
34,1,2,0,0,0.0,1,0,0,0
48,1,3,0,0,0.042,16,0,0,0
33,1,2,0,0,0.0,9,0,0,0
32,1,3,0,0,0.0,1,0,0,0
45,1,2,0,0,0.0,16,0,0,0
65,1,3,0,0,0.0,37,0,0,0
82,1,2,0,0,0.0,59,0,0,0
105,1,2,0,0,0.0,81,0,0,0
73,1,3,0,0,0.0,45,0,0,0
31,1,2,0,0,0.045,1,0,0,0
66,1,2,0,0,0.0,40,0,0,0
87,1,2,0,0,0.0,22,0,0,0
43,1,2,0,0,0.0,6,0,0,0
60,1,2,0,0,0.0,29,0,0,0
48,1,2,0,0,0.0,16,0,0,0
46,1,2,0,0,0.0,21,0,0,0
91,1,2,0,0,0.0,62,0,0,0
81,1,2,0,0,0.0,56,0,0,0
96,1,2,0,0,0.0,77,0,0,0
42,1,2,0,0,0.0,20,0,0,0
